date,bike_stands,available_bike_stands,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain,surface_pressure
2024-04-04 20:51:32,20,17,17.200000762939453,47.0,5.786378383636475,16.152297973632812,0.0,0.0,983.6948852539062
2024-04-04 18:53:16,20,17,17.200000762939453,47.0,5.786378383636475,16.152297973632812,0.0,0.0,983.6948852539062
2024-04-04 19:10:00,20,16,14.800000190734863,60.0,7.108449459075928,13.408418655395508,0.0,0.0,984.3161010742188
2024-04-04 20:11:05,20,16,14.5,62.0,7.304898738861084,13.473268508911133,0.0,0.0,984.8660888671875
2024-04-04 21:09:33,20,15,14.5,62.0,7.304898738861084,13.473268508911133,0.0,0.0,984.8660888671875
2024-04-04 22:09:43,20,15,13.899999618530273,56.0,5.264230251312256,12.211366653442383,0.0,0.0,986.0626220703125
2024-04-04 23:11:46,20,13,11.699999809265137,66.0,5.55709981918335,9.850892066955566,0.0,0.0,986.5050048828125
2024-04-05 00:46:58,20,13,11.399999618530273,69.0,5.91288423538208,9.957916259765625,0.0,0.0,987.3448486328125
2024-04-05 01:43:49,20,13,11.399999618530273,69.0,5.91288423538208,9.957916259765625,0.0,0.0,987.3448486328125
2024-04-05 02:17:54,20,13,10.199999809265137,75.0,5.965068340301514,9.07547378540039,0.0,0.0,988.1828002929688
2024-04-05 03:12:46,20,13,10.199999809265137,75.0,5.965068340301514,9.07547378540039,0.0,0.0,988.1828002929688
2024-04-05 04:15:12,20,13,10.0,75.0,5.771698951721191,8.687298774719238,0.0,0.0,988.8392944335938
