name,position,bike_stands,available_bike_stands,available_bikes,last_update,date
STROSSMAYERJEVA UL. - TRŽNICA,"{'lat': 46.558498, 'lng': 15.64146}",20,4,16,1710241680000,2024-03-12 12:13:51
STROSSMAYERJEVA UL. - TRŽNICA,"{'lat': 46.558498, 'lng': 15.64146}",20,4,16,1710242149000,2024-03-12 12:17:33
