name,position,bike_stands,available_bike_stands,available_bikes,last_update,date
GORKEGA UL. - OŠ FRANCETA PREŠERNA,"{'lat': 46.550683, 'lng': 15.639333}",20,19,1,1710241714000,2024-03-12 12:13:51
GORKEGA UL. - OŠ FRANCETA PREŠERNA,"{'lat': 46.550683, 'lng': 15.639333}",20,19,1,1710242129000,2024-03-12 12:17:33
