name,position,bike_stands,available_bike_stands,available_bikes,last_update,date
LJUBLJANSKA UL. - II. GIMNAZIJA,"{'lat': 46.548853, 'lng': 15.645591}",20,19,1,1710241806000,2024-03-12 12:13:51
LJUBLJANSKA UL. - II. GIMNAZIJA,"{'lat': 46.548853, 'lng': 15.645591}",20,19,1,1710242213000,2024-03-12 12:17:33
