name,position,bike_stands,available_bike_stands,available_bikes,last_update,date
POŠTA - SLOMŠKOV TRG,"{'lat': 46.558924, 'lng': 15.644443}",20,6,14,1710241758000,2024-03-12 12:13:51
POŠTA - SLOMŠKOV TRG,"{'lat': 46.558924, 'lng': 15.644443}",20,8,12,1710242175000,2024-03-12 12:17:33
