name,position,bike_stands,available_bike_stands,available_bikes,last_update,date
"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.","{'lat': 46.54199, 'lng': 15.63831}",20,15,5,1710241659000,2024-03-12 12:13:51
"VZAJEMNA, VARUH ZDRAVJA - BETNAVSKA C.","{'lat': 46.54199, 'lng': 15.63831}",20,15,5,1710241659000,2024-03-12 12:17:33
